X,(lambda=0.5),(lambda=1),(lambda=1.5)
3.4000000000000004,0.8173164759472653,0.9666267300396739,0.9939032534344844
3.45,0.8218269482271016,0.9682543636219321,0.9943437830860469
3.5,0.8262260565495548,0.9698026165776815,0.9947524816008186
3.5500000000000003,0.8305165505005299,0.9712753603457606,0.9951316489857702
3.6,0.8347011117784134,0.9726762775527075,0.9954834190573874
3.6500000000000004,0.8387823558702232,0.9740088712212447,0.9958097714500154
3.7,0.8427628336863724,0.9752764735296606,0.9961125427565238
3.75,0.8466450331550716,0.9764822541439909,0.9963934368639843
3.8000000000000003,0.8504313807773649,0.9776292281438344,0.9966540345425288
3.85,0.8541242431437726,0.9787202635616228,0.9968958023413507
3.9000000000000004,0.8577259284134864,0.9797580885541957,0.9971201008419117
3.95,0.8612386877570447,0.9807452982246131,0.9973281923148005
4.0,0.8646647167633873,0.9816843611112658,0.9975212478233336
4.05,0.8680061568121697,0.9825776253605065,0.997700353813875
4.1000000000000005,0.8712650964121957,0.9834273245982388,0.9978665182299623
4.15,0.8744435725068028,0.9842355835151455,0.9980206761846468
4.2,0.8775435717470181,0.9850044231795223,0.9981636952229711
4.25,0.8805670317332803,0.9857357660910008,0.9982963802041974
4.3,0.883515842226503,0.9864314409877991,0.9984194778312638
4.3500000000000005,0.8863918463292363,0.9870931874195201,0.9985336808529571
4.4,0.8891968416376661,0.9877226600969315,0.9986396319624521
4.45,0.8919325813651707,0.9883214330296045,0.9987379274141553
4.5,0.8946007754381357,0.9888910034617577,0.9988291203792088
4.55,0.8972030915647136,0.9894327956161474,0.9989137240585362
4.6000000000000005,0.8997411562771963,0.9899481642553665,0.9989922145709514
4.65,0.9022165559486499,0.9904383980694564,0.9990650336325834
4.7,0.9046308377844504,0.9909047228983042,0.999132591042693
4.75,0.9069855107893365,0.9913483047968794,0.9991952669898754
4.800000000000001,0.9092820467105875,0.99177025295098,0.9992534141916233
4.8500000000000005,0.9115218809579128,0.9921716224507743,0.9993073598792932
4.9,0.9137064135006295,0.9925534169290756,0.9993574076396444
4.95,0.9158370097426897,0.9929165910709479,0.9994038391233157
5.0,0.9179150013761012,0.9932620530009145,0.9994469156298522
