Rank,Probability skew=0.1,Probability skew=0.5,Probability skew=1
183,0.0031669,0.002229808,8.70E-04
184,0.003165175,0.002223741,8.66E-04
185,0.00316346,0.002217723,8.61E-04
186,0.003161755,0.002211753,8.56E-04
187,0.00316006,0.002205831,8.52E-04
188,0.003158375,0.002199957,8.47E-04
189,0.0031567,0.002194129,8.43E-04
190,0.003155035,0.002188347,8.38E-04
191,0.003153379,0.002182611,8.34E-04
192,0.003151733,0.00217692,8.29E-04
193,0.003150096,0.002171273,8.25E-04
194,0.003148468,0.00216567,8.21E-04
195,0.00314685,0.002160109,8.17E-04
196,0.003145241,0.002154592,8.13E-04
197,0.003143641,0.002149116,8.08E-04
198,0.003142049,0.002143683,8.04E-04
199,0.003140467,0.00213829,8.00E-04
200,0.003138893,0.002132937,7.96E-04
201,0.003137328,0.002127625,7.92E-04
202,0.003135771,0.002122352,7.88E-04
203,0.003134223,0.002117118,7.84E-04
204,0.003132683,0.002111923,7.81E-04
205,0.003131152,0.002106765,7.77E-04
206,0.003129628,0.002101645,7.73E-04
207,0.003128113,0.002096563,7.69E-04
208,0.003126606,0.002091517,7.66E-04
209,0.003125107,0.002086507,7.62E-04
210,0.003123616,0.002081534,7.58E-04
211,0.003122132,0.002076595,7.55E-04
212,0.003120656,0.002071692,7.51E-04
213,0.003119188,0.002066823,7.48E-04
214,0.003117727,0.002061988,7.44E-04
215,0.003116274,0.002057187,7.41E-04
216,0.003114828,0.00205242,7.37E-04
217,0.00311339,0.002047685,7.34E-04
218,0.003111959,0.002042983,7.31E-04
219,0.003110535,0.002038314,7.27E-04
220,0.003109118,0.002033676,7.24E-04
221,0.003107708,0.00202907,7.21E-04
222,0.003106306,0.002024494,7.17E-04
223,0.00310491,0.00201995,7.14E-04
224,0.003103521,0.002015436,7.11E-04
225,0.003102139,0.002010952,7.08E-04
226,0.003100764,0.002006499,7.05E-04
227,0.003099395,0.002002074,7.02E-04
228,0.003098033,0.001997679,6.98E-04
229,0.003096677,0.001993312,6.95E-04
230,0.003095328,0.001988974,6.92E-04
231,0.003093986,0.001984664,6.89E-04
232,0.00309265,0.001980382,6.86E-04
233,0.00309132,0.001976128,6.83E-04
234,0.003089996,0.001971901,6.81E-04
235,0.003088679,0.001967701,6.78E-04
236,0.003087367,0.001963528,6.75E-04
237,0.003086062,0.001959381,6.72E-04
238,0.003084763,0.00195526,6.69E-04
239,0.00308347,0.001951166,6.66E-04
240,0.003082183,0.001947096,6.64E-04
241,0.003080901,0.001943053,6.61E-04
242,0.003079626,0.001939034,6.58E-04
243,0.003078356,0.00193504,6.55E-04
244,0.003077092,0.001931071,6.53E-04
245,0.003075834,0.001927126,6.50E-04
246,0.003074581,0.001923205,6.47E-04
247,0.003073334,0.001919308,6.45E-04
248,0.003072093,0.001915434,6.42E-04
249,0.003070857,0.001911584,6.40E-04
250,0.003069626,0.001907757,6.37E-04
251,0.003068401,0.001903953,6.34E-04
252,0.003067181,0.001900171,6.32E-04
253,0.003065967,0.001896412,6.29E-04
254,0.003064758,0.001892676,6.27E-04
255,0.003063554,0.001888961,6.25E-04
256,0.003062355,0.001885268,6.22E-04
257,0.003061161,0.001881597,6.20E-04
258,0.003059973,0.001877946,6.17E-04
259,0.003058789,0.001874318,6.15E-04
260,0.003057611,0.00187071,6.13E-04
261,0.003056437,0.001867123,6.10E-04
262,0.003055268,0.001863556,6.08E-04
263,0.003054105,0.00186001,6.06E-04
264,0.003052946,0.001856484,6.03E-04
265,0.003051792,0.001852977,6.01E-04
266,0.003050643,0.001849491,5.99E-04
267,0.003049498,0.001846024,5.96E-04
268,0.003048358,0.001842577,5.94E-04
269,0.003047223,0.001839149,5.92E-04
270,0.003046093,0.00183574,5.90E-04
271,0.003044967,0.00183235,5.88E-04
272,0.003043846,0.001828979,5.85E-04
273,0.003042729,0.001825626,5.83E-04
274,0.003041616,0.001822291,5.81E-04
275,0.003040509,0.001818975,5.79E-04
276,0.003039405,0.001815677,5.77E-04
277,0.003038306,0.001812396,5.75E-04
278,0.003037211,0.001809134,5.73E-04
279,0.003036121,0.001805889,5.71E-04
280,0.003035035,0.001802661,5.69E-04
281,0.003033953,0.001799451,5.67E-04
282,0.003032876,0.001796257,5.65E-04
283,0.003031802,0.001793081,5.63E-04
284,0.003030733,0.001789921,5.61E-04
285,0.003029668,0.001786778,5.59E-04
286,0.003028607,0.001783652,5.57E-04
287,0.00302755,0.001780542,5.55E-04
288,0.003026497,0.001777448,5.53E-04
289,0.003025448,0.00177437,5.51E-04
290,0.003024403,0.001771308,5.49E-04
291,0.003023362,0.001768262,5.47E-04
292,0.003022325,0.001765231,5.45E-04
293,0.003021292,0.001762216,5.44E-04
294,0.003020263,0.001759217,5.42E-04
295,0.003019238,0.001756233,5.40E-04
296,0.003018216,0.001753264,5.38E-04
297,0.003017198,0.001750309,5.36E-04
298,0.003016184,0.00174737,5.34E-04
299,0.003015174,0.001744446,5.33E-04
300,0.003014167,0.001741536,5.31E-04
