currTime,TotalEnergyConsumption,TotalEnvCost
42490,78395,78395
42501,78415,78415
42708,78800,78800
42829,79020,79020
42928,79200,79200
43138,79580,79580
43140,79585,79585
43200,79695,79695
43267,79815,79815
43327,79930,79930
43360,79990,79990
43431,80120,80120
43451,80160,80160
43541,80330,80330
43653,80540,80540
43710,80645,80645
43794,80805,80805
43895,80995,80995
43926,81055,81055
43946,81090,81090
44061,81310,81310
44067,81320,81320
44117,81415,81415
44512,82135,82135
44543,82195,82195
44563,82230,82230
44576,82255,82255
44675,82435,82435
44776,82620,82620
44804,82670,82670
44861,82775,82775
44985,83005,83005
44992,83020,83020
45022,83075,83075
45103,83225,83225
45182,83370,83370
45215,83430,83430
45269,83530,83530
45451,83865,83865
45670,84265,84265
45829,84550,84550
45866,84620,84620
46012,84885,84885
46421,85620,85620
46465,85695,85695
46470,85705,85705
46489,85740,85740
46535,85825,85825
46539,85830,85830
46600,85945,85945
46614,85970,85970
46764,86250,86250
46846,86395,86395
46905,86500,86500
46971,86620,86620
47067,86795,86795
47299,87215,87215
47379,87360,87360
47753,88035,88035
47769,88065,88065
47815,88150,88150
47966,88430,88430
48112,88695,88695
48282,89005,89005
48334,89100,89100
48363,89155,89155
48538,89475,89475
48578,89550,89550
48650,89680,89680
48841,90035,90035
48884,90115,90115
49211,90715,90715
49212,90715,90715
49295,90870,90870
49346,90970,90970
49753,91725,91725
49760,91735,91735
49938,92060,92060
49949,92080,92080
50018,92210,92210
50201,92545,92545
50321,92760,92760
50323,92765,92765
50554,93190,93190
50568,93215,93215
50728,93510,93510
50759,93565,93565
50951,93920,93920
51035,94070,94070
51059,94115,94115
51079,94150,94150
51095,94180,94180
51159,94305,94305
51305,94580,94580
51344,94650,94650
51644,95210,95210
51677,95270,95270
51847,95580,95580
51938,95740,95740
52048,95940,95940
52144,96110,96110
52238,96280,96280
52274,96350,96350
52352,96490,96490
52414,96605,96605
52432,96640,96640
52689,97115,97115
53067,97800,97800
53101,97865,97865
53102,97865,97865
53139,97935,97935
53484,98560,98560
53500,98590,98590
53619,98810,98810
53838,99210,99210
53916,99350,99350
53934,99380,99380
53981,99470,99470
54010,99520,99520
54112,99710,99710
54319,100090,100090
54350,100150,100150
54444,100325,100325
54778,100935,100935
54818,101005,101005
54851,101065,101065
54853,101070,101070
54903,101160,101160
55047,101430,101430
55055,101445,101445
55099,101525,101525
55340,101975,101975
55576,102405,102405
56149,103425,103425
56245,103595,103595
56318,103725,103725
56334,103750,103750
56365,103810,103810
56601,104235,104235
56698,104410,104410
56848,104680,104680
56858,104695,104695
56860,104700,104700
56863,104705,104705
56922,104815,104815
56927,104825,104825
56980,104925,104925
57023,105005,105005
57065,105080,105080
57082,105115,105115
57187,105315,105315
57280,105485,105485
57289,105505,105505
57331,105585,105585
57373,105660,105660
58075,106945,106945
58213,107195,107195
58226,107215,107215
58442,107610,107610
58460,107640,107640
58707,108095,108095
58738,108150,108150
58962,108555,108555
59193,108975,108975
59528,109580,109580
59682,109855,109855
59905,110255,110255
59909,110265,110265
59933,110305,110305
60154,110715,110715
60487,111320,111320
60553,111440,111440
60697,111700,111700
60778,111845,111845
60928,112120,112120
60955,112170,112170
60994,112240,112240
61018,112285,112285
61123,112480,112480
61153,112535,112535
61202,112630,112630
61244,112710,112710
61383,112975,112975
61405,113015,113015
61478,113155,113155
61495,113190,113190
61644,113475,113475
61687,113555,113555
61756,113685,113685
61789,113745,113745
62007,114150,114150
62017,114170,114170
62099,114320,114320
62109,114340,114340
62304,114705,114705
62380,114845,114845
62483,115035,115035
62589,115230,115230
62686,115410,115410
62770,115565,115565
62787,115600,115600
62812,115645,115645
62934,115875,115875
63009,116020,116020
63061,116115,116115
63081,116155,116155
63091,116175,116175
63141,116270,116270
63165,116315,116315
63296,116570,116570
63348,116670,116670
63630,117210,117210
63989,117890,117890
64083,118065,118065
64084,118065,118065
64163,118210,118210
64255,118380,118380
64372,118595,118595
64423,118690,118690
64439,118720,118720
64547,118915,118915
64562,118945,118945
64625,119060,119060
64722,119240,119240
64894,119560,119560
65385,120455,120455
65995,121550,121550
65998,121555,121555
66163,121855,121855
66200,121920,121920
66222,121960,121960
66305,122110,122110
66467,122405,122405
66622,122685,122685
66678,122785,122785
66716,122855,122855
67043,123445,123445
67066,123490,123490
67342,123990,123990
67367,124035,124035
67508,124290,124290
67552,124370,124370
67598,124455,124455
67870,124945,124945
67903,125000,125000
67921,125035,125035
68179,125505,125505
68190,125525,125525
68324,125770,125770
68347,125810,125810
68403,125915,125915
68509,126110,126110
68615,126305,126305
68677,126420,126420
68870,126775,126775
68917,126860,126860
68967,126955,126955
69356,127675,127675
69375,127710,127710
69558,128055,128055
69610,128150,128150
69706,128330,128330
69712,128345,128345
69714,128345,128345
69750,128415,128415
69841,128585,128585
69844,128590,128590
69970,128830,128830
69978,128845,128845
70133,129135,129135
70324,129490,129490
70633,130055,130055
70809,130370,130370
70811,130375,130375
70898,130530,130530
70957,130640,130640
71030,130770,130770
71128,130950,130950
71130,130955,130955
71345,131355,131355
71347,131355,131355
71359,131380,131380
71371,131400,131400
71377,131415,131415
71382,131420,131420
71389,131435,131435
71461,131575,131575
71547,131740,131740
71596,131835,131835
71613,131870,131870
71633,131905,131905
71847,132315,132315
71864,132345,132345
72357,133250,133250
72573,133640,133640
72594,133675,133675
72625,133735,133735
73141,134650,134650
73156,134680,134680
73274,134890,134890
73283,134905,134905
73392,135100,135100
73721,135695,135695
73731,135715,135715
73785,135810,135810
73818,135870,135870
73934,136085,136085
74033,136265,136265
74367,136865,136865
74396,136920,136920
74433,136985,136985
74659,137390,137390
74948,137905,137905
75103,138180,138180
75149,138265,138265
75170,138300,138300
75198,138355,138355
75345,138625,138625
75485,138885,138885
75491,138895,138895
75522,138955,138955
75530,138970,138970
75533,138975,138975
75718,139330,139330
75871,139620,139620
76016,139895,139895
76125,140095,140095
76181,140200,140200
76228,140285,140285
76356,140525,140525
76605,140985,140985
76612,141000,141000
76727,141210,141210
76863,141460,141460
77012,141735,141735
77065,141835,141835
77095,141890,141890
77282,142235,142235
77536,142700,142700
77785,143155,143155
78011,143560,143560
78016,143570,143570
78129,143775,143775
78228,143950,143950
78305,144090,144090
78437,144325,144325
78457,144365,144365
78507,144455,144455
78522,144480,144480
78665,144740,144740
78690,144785,144785
78749,144895,144895
78838,145065,145065
78984,145335,145335
79406,146110,146110
79421,146135,146135
79514,146310,146310
79635,146525,146525
79727,146695,146695
79806,146840,146840
79891,147000,147000
80111,147400,147400
80217,147595,147595
80262,147675,147675
80347,147830,147830
80502,148115,148115
80629,148350,148350
80689,148460,148460
80734,148545,148545
80784,148635,148635
81226,149460,149460
81503,149960,149960
81671,150260,150260
81699,150310,150310
81718,150345,150345
81869,150625,150625
81882,150650,150650
82017,150895,150895
82061,150975,150975
82072,150995,150995
82142,151120,151120
82178,151185,151185
82180,151190,151190
82258,151335,151335
82271,151360,151360
82396,151595,151595
82464,151720,151720
82487,151765,151765
82936,152575,152575
83032,152750,152750
83401,153410,153410
83542,153655,153655
83959,154400,154400
83964,154405,154405
84064,154585,154585
84114,154675,154675
84191,154820,154820
84230,154890,154890
84446,155280,155280
84477,155340,155340
84539,155450,155450
84595,155555,155555
84673,155700,155700
84699,155750,155750
84709,155765,155765
84804,155945,155945
84899,156120,156120
84962,156235,156235
85036,156370,156370
85093,156475,156475
85181,156640,156640
85293,156845,156845
85370,156985,156985
85389,157020,157020
85464,157160,157160
85510,157245,157245
85530,157280,157280
85721,157630,157630
85896,157945,157945
86026,158180,158180
86342,158755,158755
86544,159125,159125
86591,159210,159210
86610,159245,159245
86675,159365,159365
86729,159465,159465
86921,159825,159825
87195,160335,160335
87199,160340,160340
87281,160495,160495
87305,160540,160540
87341,160605,160605
87418,160750,160750
87723,161320,161320
87913,161670,161670
87963,161760,161760
88037,161900,161900
88254,162305,162305
88357,162495,162495
88445,162660,162660
88517,162800,162800
88562,162885,162885
88567,162890,162890
88820,163365,163365
88855,163430,163430
88910,163535,163535
88976,163660,163660
89301,164255,164255
89309,164270,164270
89400,164440,164440
89506,164635,164635
89601,164810,164810
89687,164965,164965
89825,165210,165210
89833,165225,165225
90010,165545,165545
90082,165680,165680
90101,165715,165715
90178,165855,165855
90183,165865,165865
90244,165980,165980
90251,165990,165990
90264,166015,166015
90436,166340,166340
90458,166380,166380
90706,166850,166850
90786,167000,167000
90964,167335,167335
91075,167540,167540
91303,167955,167955
91314,167975,167975
91481,168280,168280
91626,168545,168545
91685,168650,168650
91930,169095,169095
92295,169740,169740
92461,170035,170035
92683,170430,170430
92954,170910,170910
93026,171035,171035
93033,171050,171050
93325,171575,171575
93356,171630,171630
93453,171805,171805
93465,171825,171825
93537,171955,171955
93540,171960,171960
93593,172060,172060
93619,172105,172105
93848,172530,172530
93936,172690,172690
93950,172715,172715
94135,173055,173055
94210,173195,173195
94258,173285,173285
94501,173735,173735
94508,173750,173750
94690,174085,174085
94730,174155,174155
94743,174180,174180
94807,174300,174300
95012,174670,174670
95090,174810,174810
95137,174895,174895
95254,175105,175105
95373,175325,175325
95456,175475,175475
95654,175835,175835
95672,175870,175870
95751,176015,176015
95800,176105,176105
95870,176235,176235
95887,176265,176265
95893,176280,176280
95938,176365,176365
95983,176450,176450
95995,176475,176475
96144,176760,176760
96274,177005,177005
96281,177020,177020
96334,177120,177120
96441,177330,177330
96449,177345,177345
96527,177495,177495
96555,177545,177545
96773,177965,177965
97502,179315,179315
97505,179320,179320
97516,179340,179340
97581,179460,179460
97854,179975,179975
97946,180145,180145
97978,180205,180205
98427,181035,181035
98465,181100,181100
98549,181255,181255
98696,181520,181520
98714,181555,181555
98753,181625,181625
98787,181690,181690
98806,181725,181725
98874,181850,181850
98928,181955,181955
98958,182010,182010
98983,182060,182060
98991,182075,182075
99007,182105,182105
99033,182155,182155
99043,182175,182175
99073,182235,182235
99186,182460,182460
99604,183250,183250
99632,183300,183300
99766,183540,183540
99768,183545,183545
99970,183910,183910
100009,183980,183980
100028,184015,184015
100078,184105,184105
100134,184210,184210
100263,184445,184445
100357,184615,184615
100395,184685,184685
100460,184805,184805
100536,184945,184945
100543,184960,184960
100635,185130,185130
100712,185275,185275
101131,186045,186045
101333,186420,186420
101417,186580,186580
101421,186585,186585
101519,186770,186770
101595,186915,186915
101607,186935,186935
101753,187210,187210
101806,187305,187305
101951,187575,187575
102021,187705,187705
102184,188010,188010
102216,188070,188070
102404,188420,188420
102405,188420,188420
102621,188825,188825
102707,188985,188985
102814,189185,189185
102918,189380,189380
102939,189420,189420
102942,189425,189425
102950,189440,189440
102993,189520,189520
103143,189800,189800
103229,189960,189960
103320,190125,190125
103355,190190,190190
103392,190260,190260
103546,190540,190540
103557,190560,190560
103699,190820,190820
103763,190940,190940
103782,190975,190975
103804,191015,191015
103846,191090,191090
103873,191140,191140
104150,191645,191645
104163,191670,191670
104192,191725,191725
104236,191805,191805
104246,191825,191825
104255,191840,191840
104272,191875,191875
104439,192195,192195
104514,192340,192340
104742,192770,192770
104809,192895,192895
104838,192945,192945
104895,193055,193055
104914,193090,193090
105000,193255,193255
105110,193465,193465
105134,193510,193510
105266,193760,193760
105286,193800,193800
105552,194300,194300
105563,194320,194320
105658,194495,194495
105792,194745,194745
105917,194980,194980
106063,195245,195245
106071,195260,195260
106128,195365,195365
106138,195380,195380
106294,195670,195670
106304,195690,195690
106328,195730,195730
106353,195780,195780
106436,195935,195935
106452,195965,195965
106485,196030,196030
106489,196040,196040
106634,196315,196315
106868,196755,196755
107011,197015,197015
107053,197095,197095
107081,197145,197145
107323,197595,197595
107411,197760,197760
107471,197870,197870
107565,198045,198045
107732,198355,198355
107817,198510,198510
107925,198710,198710
107987,198820,198820
108042,198925,198925
108059,198955,198955
108612,199940,199940
108715,200120,200120
108921,200485,200485
109195,200975,200975
109203,200990,200990
109251,201075,201075
109303,201170,201170
109441,201425,201425
109608,201725,201725
109712,201915,201915
109798,202070,202070
109893,202240,202240
109913,202275,202275
109971,202385,202385
110028,202490,202490
110052,202535,202535
110338,203060,203060
110354,203090,203090
110614,203560,203560
110658,203635,203635
110875,204030,204030
110931,204130,204130
110939,204145,204145
110944,204155,204155
110986,204235,204235
111030,204315,204315
111088,204425,204425
111147,204535,204535
111439,205085,205085
111962,206045,206045
111974,206070,206070
111990,206100,206100
112622,207240,207240
112707,207390,207390
112726,207425,207425
113336,208505,208505
113463,208725,208725
113468,208735,208735
113521,208830,208830
113561,208905,208905
113600,208975,208975
113680,209120,209120
113702,209160,209160
113801,209345,209345
113825,209390,209390
113963,209645,209645
113980,209675,209675
113993,209700,209700
114173,210030,210030
114199,210080,210080
114211,210100,210100
114314,210290,210290
114350,210360,210360
114631,210885,210885
114742,211090,211090
114957,211485,211485
115115,211775,211775
115305,212125,212125
115403,212305,212305
115529,212535,212535
115633,212725,212725
115673,212795,212795
115821,213065,213065
115824,213070,213070
115858,213130,213130
115877,213165,213165
115898,213205,213205
116180,213730,213730
116320,213985,213985
116484,214285,214285
116565,214430,214430
116585,214470,214470
116950,215130,215130
117033,215280,215280
117068,215345,215345
117155,215505,215505
117171,215535,215535
117230,215645,215645
117236,215655,215655
117295,215765,215765
117352,215875,215875
117532,216220,216220
117781,216685,216685
117876,216860,216860
117932,216965,216965
117943,216985,216985
118326,217700,217700
118559,218130,218130
118598,218200,218200
118714,218410,218410
118719,218420,218420
119001,218940,218940
119119,219155,219155
119167,219245,219245
119316,219515,219515
119440,219740,219740
119471,219795,219795
119529,219900,219900
119608,220045,220045
119737,220285,220285
119748,220305,220305
119809,220420,220420
119837,220470,220470
120028,220825,220825
120038,220845,220845
120262,221260,221260
120295,221320,221320
120308,221345,221345
120390,221495,221495
120433,221575,221575
120741,222135,222135
120801,222245,222245
121100,222785,222785
121232,223020,223020
121418,223355,223355
121485,223475,223475
121495,223495,223495
121705,223875,223875
121805,224060,224060
122134,224655,224655
122138,224660,224660
122219,224805,224805
122275,224910,224910
122342,225030,225030
122359,225060,225060
122523,225360,225360
122573,225450,225450
122645,225585,225585
122727,225735,225735
122739,225760,225760
123133,226490,226490
123745,227595,227595
123813,227715,227715
123910,227890,227890
124035,228115,228115
124137,228300,228300
124257,228515,228515
124319,228625,228625
124329,228645,228645
124539,229025,229025
124560,229065,229065
124612,229160,229160
124689,229300,229300
124730,229375,229375
124765,229440,229440
124817,229535,229535
125079,230015,230015
125151,230150,230150
125164,230170,230170
125176,230195,230195
125304,230430,230430
125325,230470,230470
125832,231400,231400
125875,231480,231480
125880,231485,231485
125986,231680,231680
126071,231840,231840
126104,231900,231900
126186,232050,232050
126187,232055,232055
126350,232355,232355
126433,232505,232505
126447,232530,232530
126655,232905,232905
126853,233265,233265
127106,233720,233720
127119,233740,233740
127143,233785,233785
127242,233965,233965
127287,234050,234050
127423,234300,234300
127616,234650,234650
127656,234725,234725
127676,234760,234760
127810,235010,235010
128013,235380,235380
128015,235385,235385
128169,235665,235665
128301,235910,235910
128322,235945,235945
128571,236405,236405
128679,236605,236605
128703,236645,236645
128737,236710,236710
128865,236945,236945
128869,236955,236955
128921,237050,237050
128941,237085,237085
129086,237360,237360
129470,238055,238055
129471,238060,238060
129575,238250,238250
129663,238405,238405
129803,238660,238660
129870,238780,238780
129962,238945,238945
130146,239275,239275
130168,239315,239315
130771,240395,240395
130789,240425,240425
130794,240435,240435
130974,240760,240760
131018,240840,240840
131067,240935,240935
131445,241630,241630
131497,241725,241725
131593,241900,241900
131627,241960,241960
131847,242365,242365
131964,242580,242580
131969,242590,242590
132148,242910,242910
132157,242930,242930
132189,242985,242985
132237,243075,243075
132488,243535,243535
132664,243860,243860
132671,243875,243875
132678,243885,243885
133034,244540,244540
133113,244680,244680
133401,245200,245200
133432,245260,245260
133492,245370,245370
133524,245425,245425
133582,245535,245535
133636,245635,245635
133702,245755,245755
133749,245845,245845
133754,245855,245855
133868,246070,246070
133871,246075,246075
133889,246110,246110
133933,246195,246195
133972,246270,246270
134028,246375,246375
134118,246545,246545
134435,247145,247145
134513,247290,247290
134642,247535,247535
134806,247845,247845
134852,247930,247930
134853,247930,247930
135136,248460,248460
135181,248540,248540
135207,248590,248590
135308,248780,248780
135349,248855,248855
135471,249090,249090
135506,249155,249155
135524,249190,249190
135552,249245,249245
135719,249565,249565
135858,249825,249825
135965,250025,250025
136026,250140,250140
136043,250175,250175
136319,250695,250695
136355,250765,250765
136375,250800,250800
136682,251375,251375
136736,251475,251475
136824,251640,251640
136979,251925,251925
137020,252005,252005
137022,252010,252010
137032,252030,252030
137127,252210,252210
137391,252715,252715
137462,252845,252845
137720,253330,253330
137738,253365,253365
137741,253370,253370
137846,253570,253570
137877,253630,253630
137998,253860,253860
138026,253915,253915
138201,254245,254245
138293,254415,254415
138540,254865,254865
138585,254950,254950
138740,255230,255230
138879,255480,255480
139021,255735,255735
139200,256055,256055
139221,256095,256095
139285,256210,256210
139413,256445,256445
139419,256455,256455
139422,256460,256460
139508,256620,256620
139545,256690,256690
139588,256770,256770
139597,256790,256790
139622,256835,256835
139763,257100,257100
139947,257440,257440
140069,257665,257665
140379,258220,258220
140407,258270,258270
140526,258485,258485
140592,258605,258605
140607,258630,258630
140625,258660,258660
140863,259095,259095
140913,259185,259185
141055,259440,259440
141075,259475,259475
141113,259545,259545
141362,260000,260000
141604,260440,260440
142121,261375,261375
142615,262260,262260
142617,262265,262265
142691,262400,262400
142911,262805,262805
143110,263175,263175
143199,263340,263340
143220,263380,263380
143250,263435,263435
143300,263530,263530
143594,264075,264075
143709,264285,264285
143758,264370,264370
143802,264450,264450
143820,264485,264485
144036,264885,264885
144164,265115,265115
144167,265120,265120
144275,265320,265320
144357,265470,265470
144373,265500,265500
144589,265895,265895
144643,265995,265995
144669,266040,266040
144732,266155,266155
144790,266260,266260
144817,266310,266310
144877,266420,266420
144932,266520,266520
144991,266630,266630
145247,267095,267095
145257,267115,267115
145328,267245,267245
145343,267270,267270
145398,267375,267375
145547,267645,267645
145659,267850,267850
145738,267995,267995
145803,268110,268110
145821,268145,268145
146081,268615,268615
146328,269060,269060
146337,269075,269075
146343,269085,269085
146444,269270,269270
146544,269455,269455
146856,270020,270020
147103,270470,270470
147126,270510,270510
147473,271140,271140
147538,271260,271260
147585,271345,271345
147649,271460,271460
147699,271550,271550
147840,271810,271810
147909,271940,271940
148331,272715,272715
148488,273005,273005
148545,273110,273110
148593,273195,273195
148598,273205,273205
148703,273400,273400
149124,274170,274170
149132,274185,274185
149183,274280,274280
149254,274410,274410
149259,274420,274420
149293,274485,274485
149321,274540,274540
149353,274600,274600
149442,274770,274770
149594,275055,275055
149622,275110,275110
149735,275325,275325
150075,275960,275960
150089,275985,275985
150115,276035,276035
150165,276130,276130
150310,276410,276410
150417,276610,276610
150600,276950,276950
150609,276970,276970
150669,277080,277080
150758,277250,277250
150781,277290,277290
150893,277500,277500
150940,277585,277585
150976,277655,277655
150983,277670,277670
151390,278435,278435
151406,278465,278465
151628,278880,278880
151741,279090,279090
151815,279225,279225
151846,279285,279285
152101,279750,279750
152198,279930,279930
152356,280225,280225
152500,280490,280490
152619,280710,280710
152737,280930,280930
152792,281035,281035
153252,281875,281875
153324,282005,282005
153945,283115,283115
153949,283120,283120
154272,283700,283700
154540,284180,284180
154562,284220,284220
154662,284405,284405
154722,284510,284510
154747,284555,284555
154758,284575,284575
154829,284705,284705
155016,285045,285045
155113,285220,285220
155358,285660,285660
155368,285675,285675
155539,285985,285985
155918,286660,286660
155963,286740,286740
156139,287055,287055
156179,287130,287130
156415,287550,287550
156479,287665,287665
156545,287785,287785
156728,288120,288120
156800,288250,288250
156973,288565,288565
157034,288675,288675
157088,288775,288775
157139,288870,288870
157169,288925,288925
157242,289060,289060
157316,289195,289195
157428,289405,289405
157566,289655,289655
157582,289685,289685
157772,290035,290035
158083,290610,290610
158121,290680,290680
158269,290960,290960
158308,291030,291030
158341,291095,291095
158397,291200,291200
158560,291510,291510
158685,291750,291750
159190,292670,292670
159247,292775,292775
